metric,baseline,mean_meta_mamba,mean_baseline,mean_diff,t_statistic,p_raw,p_holm,ci_low,ci_high,significant
macro_f1,meta_mamba_7d,0.875308,0.876563,-0.001254,-0.677218,5.050227e-01,5.050227e-01,-0.005085,+0.002577,ns
macro_f1,lstm_7d,0.875308,0.406423,+0.468886,+41.778477,3.400551e-23,1.360220e-22,+0.445669,+0.492103,***
macro_f1,bilstm_7d,0.875308,0.488760,+0.386548,+16.206923,4.473022e-14,1.341907e-13,+0.337209,+0.435887,***
macro_f1,attention_7d,0.875308,0.532769,+0.342539,+14.796464,3.044870e-13,6.089739e-13,+0.294650,+0.390429,***
roc_auc,meta_mamba_7d,0.939909,0.923345,+0.016565,+3.935053,6.609153e-04,6.609153e-04,+0.007857,+0.025273,***
roc_auc,lstm_7d,0.939909,0.604961,+0.334948,+20.184991,3.955963e-16,1.582385e-15,+0.300621,+0.369275,***
roc_auc,bilstm_7d,0.939909,0.638386,+0.301523,+15.305049,1.499320e-13,4.497961e-13,+0.260769,+0.342278,***
roc_auc,attention_7d,0.939909,0.683193,+0.256716,+13.648093,1.626474e-12,3.252948e-12,+0.217805,+0.295627,***
f1_class_1,meta_mamba_7d,0.913736,0.915021,-0.001285,-0.896028,3.795203e-01,3.795203e-01,-0.004251,+0.001681,ns
f1_class_1,lstm_7d,0.913736,0.795018,+0.118718,+22.817614,2.683716e-17,1.073486e-16,+0.107955,+0.129481,***
f1_class_1,bilstm_7d,0.913736,0.801327,+0.112409,+19.699853,6.722046e-16,2.016614e-15,+0.100605,+0.124212,***
f1_class_1,attention_7d,0.913736,0.793384,+0.120352,+15.701532,8.746940e-14,1.749388e-13,+0.104496,+0.136208,***
