seed,fold,accuracy,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,macro_f1,weighted_f1,roc_auc,pr_auc,confusion_matrix
42,0,0.75,0.6923076923076923,0.45,0.5454545454545455,20,0.7659574468085106,0.9,0.8275862068965516,40,0.6865203761755485,0.7335423197492162,0.705,0.8163977643592242,"{'TN': 9, 'FP': 11, 'FN': 4, 'TP': 36}"
42,1,0.6779661016949152,0.5384615384615384,0.35,0.4242424242424242,20,0.717391304347826,0.8461538461538461,0.776470588235294,39,0.6003565062388592,0.6570712106105925,0.7487179487179487,0.8604604061570379,"{'TN': 7, 'FP': 13, 'FN': 6, 'TP': 33}"
42,2,0.7288135593220338,0.6428571428571429,0.45,0.5294117647058824,20,0.7555555555555555,0.8717948717948718,0.8095238095238095,39,0.669467787114846,0.7145705739923088,0.8076923076923077,0.8976601289105469,"{'TN': 9, 'FP': 11, 'FN': 5, 'TP': 34}"
42,3,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.5358974358974359,0.6879813373618355,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
42,4,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.5705128205128205,0.7082527323542207,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
42,5,0.711864406779661,0.8,0.2,0.32000000000000006,20,0.7037037037037037,0.9743589743589743,0.8172043010752689,39,0.5686021505376344,0.6486604702022963,0.7051282051282051,0.8051309917558006,"{'TN': 4, 'FP': 16, 'FN': 1, 'TP': 38}"
42,6,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.4833333333333334,0.6710489734694539,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
42,7,0.6949152542372882,1.0,0.05263157894736842,0.1,19,0.6896551724137931,1.0,0.8163265306122449,40,0.45816326530612245,0.5856451054998271,0.6263157894736843,0.7849360952168833,"{'TN': 1, 'FP': 18, 'FN': 0, 'TP': 40}"
123,0,0.7,0.6666666666666666,0.2,0.30769230769230765,20,0.7037037037037037,0.95,0.8085106382978724,40,0.5581014729950899,0.641571194762684,0.64375,0.7642552499416041,"{'TN': 4, 'FP': 16, 'FN': 2, 'TP': 38}"
123,1,0.6779661016949152,1.0,0.05,0.09523809523809523,20,0.6724137931034483,1.0,0.8041237113402061,39,0.4496809032891507,0.5638235024920331,0.7307692307692308,0.8245931327528189,"{'TN': 1, 'FP': 19, 'FN': 0, 'TP': 39}"
123,2,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.4705128205128205,0.6636736408060596,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
123,3,0.6440677966101694,0.0,0.0,0.0,20,0.6551724137931034,0.9743589743589743,0.7835051546391754,39,0.3917525773195876,0.5179101869648786,0.6448717948717949,0.7607227048352725,"{'TN': 0, 'FP': 20, 'FN': 1, 'TP': 38}"
123,4,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.5820512820512821,0.710245235925807,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
123,5,0.6949152542372882,1.0,0.1,0.18181818181818182,20,0.6842105263157895,1.0,0.8125000000000001,39,0.49715909090909094,0.5987095531587058,0.6102564102564102,0.7643529466602853,"{'TN': 2, 'FP': 18, 'FN': 0, 'TP': 39}"
123,6,0.6779661016949152,0.5333333333333333,0.4,0.4571428571428572,20,0.7272727272727273,0.8205128205128205,0.7710843373493976,39,0.6141135972461274,0.6646634966014178,0.6871794871794872,0.8254983724455011,"{'TN': 8, 'FP': 12, 'FN': 7, 'TP': 32}"
123,7,0.6949152542372882,0.6666666666666666,0.10526315789473684,0.18181818181818182,19,0.6964285714285714,0.975,0.8125,40,0.49715909090909094,0.6093990755007704,0.6052631578947368,0.7440654711656188,"{'TN': 2, 'FP': 17, 'FN': 1, 'TP': 39}"
777,0,0.7166666666666667,0.6363636363636364,0.35,0.45161290322580644,20,0.7346938775510204,0.9,0.8089887640449438,40,0.6303008336353751,0.6898634771052313,0.77125,0.848707370849848,"{'TN': 7, 'FP': 13, 'FN': 4, 'TP': 36}"
777,1,0.6779661016949152,1.0,0.05,0.09523809523809523,20,0.6724137931034483,1.0,0.8041237113402061,39,0.4496809032891507,0.5638235024920331,0.6679487179487179,0.804320961548724,"{'TN': 1, 'FP': 19, 'FN': 0, 'TP': 39}"
777,2,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.5884615384615384,0.7408389470966446,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
777,3,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.5256410256410257,0.7194821039684198,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
777,4,0.6949152542372882,1.0,0.1,0.18181818181818182,20,0.6842105263157895,1.0,0.8125000000000001,39,0.49715909090909094,0.5987095531587058,0.6730769230769231,0.7784699814479491,"{'TN': 2, 'FP': 18, 'FN': 0, 'TP': 39}"
777,5,0.6779661016949152,1.0,0.05,0.09523809523809523,20,0.6724137931034483,1.0,0.8041237113402061,39,0.4496809032891507,0.5638235024920331,0.6487179487179487,0.7645283306911026,"{'TN': 1, 'FP': 19, 'FN': 0, 'TP': 39}"
777,6,0.6610169491525424,0.5,0.1,0.16666666666666669,20,0.6727272727272727,0.9487179487179487,0.7872340425531915,39,0.4769503546099291,0.5768722202187763,0.5961538461538463,0.7137426493815494,"{'TN': 2, 'FP': 18, 'FN': 2, 'TP': 37}"
