seed,fold,accuracy,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,macro_f1,weighted_f1,roc_auc,pr_auc,confusion_matrix
42,0,0.8631578947368421,0.7567567567567568,0.875,0.8115942028985507,32,0.9310344827586207,0.8571428571428571,0.8925619834710743,63,0.8520780931848126,0.8652886258045401,0.9146825396825397,0.9647998657329331,"{'TN': 28, 'FP': 4, 'FN': 9, 'TP': 54}"
42,1,0.8421052631578947,0.717948717948718,0.875,0.7887323943661971,32,0.9285714285714286,0.8253968253968254,0.8739495798319328,63,0.8313409870990649,0.8452448436750534,0.9231150793650793,0.9617901421003219,"{'TN': 28, 'FP': 4, 'FN': 11, 'TP': 52}"
42,2,0.8210526315789474,0.7142857142857143,0.78125,0.7462686567164178,32,0.8833333333333333,0.8412698412698413,0.8617886178861788,63,0.8040286373012984,0.8228766309658383,0.9077380952380952,0.9390340456989441,"{'TN': 25, 'FP': 7, 'FN': 10, 'TP': 53}"
42,3,0.8617021276595744,0.7567567567567568,0.875,0.8115942028985507,32,0.9298245614035088,0.8548387096774194,0.8907563025210085,62,0.8511752527097796,0.8638075026495335,0.9465725806451613,0.9746054342603273,"{'TN': 28, 'FP': 4, 'FN': 9, 'TP': 53}"
42,4,0.851063829787234,0.7931034482758621,0.7419354838709677,0.7666666666666667,31,0.8769230769230769,0.9047619047619048,0.890625,63,0.8286458333333333,0.8497451241134751,0.9457245263696876,0.9737967059086847,"{'TN': 23, 'FP': 8, 'FN': 6, 'TP': 57}"
123,0,0.8526315789473684,0.78125,0.78125,0.78125,32,0.8888888888888888,0.8888888888888888,0.8888888888888888,63,0.8350694444444444,0.8526315789473684,0.920138888888889,0.9558596756755968,"{'TN': 25, 'FP': 7, 'FN': 7, 'TP': 56}"
123,1,0.8736842105263158,0.7777777777777778,0.875,0.823529411764706,32,0.9322033898305084,0.873015873015873,0.9016393442622951,63,0.8625843780135005,0.875328630157844,0.9479166666666666,0.9755067002884854,"{'TN': 28, 'FP': 4, 'FN': 8, 'TP': 55}"
123,2,0.8631578947368421,0.7714285714285715,0.84375,0.8059701492537314,32,0.9166666666666666,0.873015873015873,0.894308943089431,63,0.850139546171581,0.8645527177974058,0.933531746031746,0.9699766970053838,"{'TN': 27, 'FP': 5, 'FN': 8, 'TP': 55}"
123,3,0.851063829787234,0.75,0.84375,0.7941176470588235,32,0.9137931034482759,0.8548387096774194,0.8833333333333333,62,0.8387254901960783,0.852962035878181,0.9259072580645161,0.9672222477235339,"{'TN': 27, 'FP': 5, 'FN': 9, 'TP': 53}"
123,4,0.8085106382978723,0.6756756756756757,0.8064516129032258,0.7352941176470588,31,0.8947368421052632,0.8095238095238095,0.8500000000000001,63,0.7926470588235295,0.812171464330413,0.8904249871991807,0.9485663655521472,"{'TN': 25, 'FP': 6, 'FN': 12, 'TP': 51}"
777,0,0.8947368421052632,0.8235294117647058,0.875,0.8484848484848485,32,0.9344262295081968,0.9047619047619048,0.9193548387096775,63,0.8839198435972629,0.8954828420023665,0.96875,0.9856965381340437,"{'TN': 28, 'FP': 4, 'FN': 6, 'TP': 57}"
777,1,0.8631578947368421,0.7714285714285715,0.84375,0.8059701492537314,32,0.9166666666666666,0.873015873015873,0.894308943089431,63,0.850139546171581,0.8645527177974058,0.9246031746031745,0.9672256064122537,"{'TN': 27, 'FP': 5, 'FN': 8, 'TP': 55}"
777,2,0.7894736842105263,0.6578947368421053,0.78125,0.7142857142857143,32,0.8771929824561403,0.7936507936507936,0.8333333333333334,63,0.7738095238095238,0.793233082706767,0.8844246031746031,0.9485607863401235,"{'TN': 25, 'FP': 7, 'FN': 13, 'TP': 50}"
777,3,0.851063829787234,0.78125,0.78125,0.78125,32,0.8870967741935484,0.8870967741935484,0.8870967741935484,62,0.8341733870967742,0.851063829787234,0.9243951612903227,0.9624068909955679,"{'TN': 25, 'FP': 7, 'FN': 7, 'TP': 55}"
777,4,0.8085106382978723,0.6585365853658537,0.8709677419354839,0.75,31,0.9245283018867925,0.7777777777777778,0.8448275862068966,63,0.7974137931034483,0.8135546588407923,0.9098822324628776,0.9588422080238022,"{'TN': 27, 'FP': 4, 'FN': 14, 'TP': 49}"
