seed,fold,accuracy,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,macro_f1,weighted_f1,roc_auc,pr_auc,confusion_matrix
42,0,0.6666666666666666,0.0,0.0,0.0,20,0.6666666666666666,1.0,0.8,40,0.4,0.5333333333333333,0.6175,0.7940924223981187,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 40}"
42,1,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.5961538461538463,0.7808502723310736,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
42,2,0.6610169491525424,0.5,0.05,0.09090909090909091,20,0.6666666666666666,0.9743589743589743,0.7916666666666666,39,0.4412878787878788,0.5541217257318952,0.7487179487179487,0.8728237871086943,"{'TN': 1, 'FP': 19, 'FN': 1, 'TP': 38}"
42,3,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.5153846153846153,0.6835085974618631,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
42,4,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.5564102564102564,0.7013548404416619,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
42,5,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.655128205128205,0.754244424440554,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
42,6,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.4807692307692308,0.6696406926423765,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
42,7,0.6779661016949152,0.0,0.0,0.0,19,0.6779661016949152,1.0,0.8080808080808081,40,0.40404040404040403,0.5478513953090225,0.6157894736842106,0.7836482380316122,"{'TN': 0, 'FP': 19, 'FN': 0, 'TP': 40}"
123,0,0.65,0.3333333333333333,0.05,0.08695652173913045,20,0.6666666666666666,0.95,0.7835051546391752,40,0.43523083818915287,0.5513222770058269,0.6575000000000001,0.7806537999529597,"{'TN': 1, 'FP': 19, 'FN': 2, 'TP': 38}"
123,1,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.7217948717948718,0.8084583889805101,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
123,2,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.46282051282051284,0.6799021072508609,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
123,3,0.6271186440677966,0.0,0.0,0.0,20,0.6491228070175439,0.9487179487179487,0.7708333333333334,39,0.3854166666666667,0.5095338983050848,0.6217948717948718,0.753258101629028,"{'TN': 0, 'FP': 20, 'FN': 2, 'TP': 37}"
123,4,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.5782051282051283,0.70849461007828,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
123,5,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.5679487179487179,0.7499138166910185,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
123,6,0.6949152542372882,0.75,0.15,0.24999999999999997,20,0.6909090909090909,0.9743589743589743,0.8085106382978723,39,0.5292553191489362,0.6191849981968987,0.6487179487179487,0.7951218393231555,"{'TN': 3, 'FP': 17, 'FN': 1, 'TP': 38}"
123,7,0.6779661016949152,0.0,0.0,0.0,19,0.6779661016949152,1.0,0.8080808080808081,40,0.40404040404040403,0.5478513953090225,0.5986842105263158,0.744268510020877,"{'TN': 0, 'FP': 19, 'FN': 0, 'TP': 40}"
777,0,0.6166666666666667,0.0,0.0,0.0,20,0.6491228070175439,0.925,0.7628865979381444,40,0.38144329896907214,0.5085910652920962,0.635,0.7892967246063003,"{'TN': 0, 'FP': 20, 'FN': 3, 'TP': 37}"
777,1,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.6128205128205129,0.7621921344762687,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
777,2,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.5743589743589743,0.7338896998370923,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
777,3,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.5153846153846153,0.7005483858608121,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
777,4,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.617948717948718,0.7624374320404724,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
777,5,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.6487179487179486,0.7530927379216097,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
777,6,0.6610169491525424,0.0,0.0,0.0,20,0.6610169491525424,1.0,0.7959183673469388,39,0.3979591836734694,0.526115530958146,0.5820512820512821,0.685620285548628,"{'TN': 0, 'FP': 20, 'FN': 0, 'TP': 39}"
777,7,0.6779661016949152,0.0,0.0,0.0,19,0.6779661016949152,1.0,0.8080808080808081,40,0.40404040404040403,0.5478513953090225,0.6894736842105263,0.811236052713947,"{'TN': 0, 'FP': 19, 'FN': 0, 'TP': 40}"
