seed,fold,accuracy,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,macro_f1,weighted_f1,roc_auc,pr_auc,confusion_matrix
42,0,0.8842105263157894,0.7837837837837838,0.90625,0.8405797101449275,32,0.9482758620689655,0.873015873015873,0.9090909090909091,63,0.8748353096179182,0.8860134526038416,0.9499007936507937,0.9781476206952886,"{'TN': 29, 'FP': 3, 'FN': 8, 'TP': 55}"
42,1,0.8631578947368421,0.7567567567567568,0.875,0.8115942028985507,32,0.9310344827586207,0.8571428571428571,0.8925619834710743,63,0.8520780931848126,0.8652886258045401,0.9176587301587301,0.9616061774646518,"{'TN': 28, 'FP': 4, 'FN': 9, 'TP': 54}"
42,2,0.9052631578947369,0.8709677419354839,0.84375,0.8571428571428571,32,0.921875,0.9365079365079365,0.9291338582677166,63,0.8931383577052868,0.9048842578888164,0.9250992063492063,0.9322206735226619,"{'TN': 27, 'FP': 5, 'FN': 4, 'TP': 59}"
42,3,0.8829787234042553,0.8181818181818182,0.84375,0.8307692307692308,32,0.9180327868852459,0.9032258064516129,0.9105691056910569,62,0.8706691682301438,0.8834031908240523,0.921875,0.9652722945967379,"{'TN': 27, 'FP': 5, 'FN': 6, 'TP': 56}"
42,4,0.9148936170212766,0.8709677419354839,0.8709677419354839,0.8709677419354839,31,0.9365079365079365,0.9365079365079365,0.9365079365079365,63,0.9037378392217101,0.9148936170212766,0.9631336405529953,0.9850767750676368,"{'TN': 27, 'FP': 4, 'FN': 4, 'TP': 59}"
123,0,0.8736842105263158,0.8125,0.8125,0.8125,32,0.9047619047619048,0.9047619047619048,0.9047619047619048,63,0.8586309523809523,0.8736842105263158,0.9260912698412698,0.9594275834578938,"{'TN': 26, 'FP': 6, 'FN': 6, 'TP': 57}"
123,1,0.8947368421052632,0.8235294117647058,0.875,0.8484848484848485,32,0.9344262295081968,0.9047619047619048,0.9193548387096775,63,0.8839198435972629,0.8954828420023665,0.9508928571428572,0.97856080874794,"{'TN': 28, 'FP': 4, 'FN': 6, 'TP': 57}"
123,2,0.9157894736842105,0.875,0.875,0.875,32,0.9365079365079365,0.9365079365079365,0.9365079365079365,63,0.9057539682539683,0.9157894736842105,0.9677579365079365,0.9844638512573076,"{'TN': 28, 'FP': 4, 'FN': 4, 'TP': 59}"
123,3,0.8723404255319149,0.7777777777777778,0.875,0.823529411764706,32,0.9310344827586207,0.8709677419354839,0.9,62,0.861764705882353,0.8739674593241552,0.9304435483870968,0.9704492912555791,"{'TN': 28, 'FP': 4, 'FN': 8, 'TP': 54}"
123,4,0.8723404255319149,0.7878787878787878,0.8387096774193549,0.8125,31,0.9180327868852459,0.8888888888888888,0.9032258064516128,63,0.8578629032258065,0.8733055936856555,0.9313876088069637,0.9697399911822489,"{'TN': 26, 'FP': 5, 'FN': 7, 'TP': 56}"
777,0,0.8842105263157894,0.8181818181818182,0.84375,0.8307692307692308,32,0.9193548387096774,0.9047619047619048,0.912,63,0.8713846153846154,0.884638056680162,0.9553571428571428,0.9813481620689715,"{'TN': 27, 'FP': 5, 'FN': 6, 'TP': 57}"
777,1,0.8842105263157894,0.8,0.875,0.8358208955223881,32,0.9333333333333333,0.8888888888888888,0.9105691056910569,63,0.8731950006067224,0.8853907612131895,0.9136904761904762,0.9637398165071567,"{'TN': 28, 'FP': 4, 'FN': 7, 'TP': 56}"
777,2,0.8631578947368421,0.8064516129032258,0.78125,0.7936507936507936,32,0.890625,0.9047619047619048,0.8976377952755906,63,0.8456442944631921,0.8626105947282905,0.9141865079365079,0.962448010769049,"{'TN': 25, 'FP': 7, 'FN': 6, 'TP': 57}"
777,3,0.9361702127659575,0.8611111111111112,0.96875,0.911764705882353,32,0.9827586206896551,0.9193548387096774,0.95,62,0.9308823529411765,0.9369837296620777,0.970766129032258,0.987021123827353,"{'TN': 31, 'FP': 1, 'FN': 5, 'TP': 57}"
777,4,0.8936170212765957,0.8181818181818182,0.8709677419354839,0.84375,31,0.9344262295081968,0.9047619047619048,0.9193548387096775,63,0.8815524193548387,0.8944213280713794,0.9242191500256016,0.9615156812800987,"{'TN': 27, 'FP': 4, 'FN': 6, 'TP': 57}"
