seed,fold,accuracy,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,macro_f1,weighted_f1,roc_auc,pr_auc,confusion_matrix
42,0,0.8666666666666667,0.7727272727272727,0.85,0.8095238095238095,20,0.9210526315789473,0.875,0.8974358974358975,40,0.8534798534798536,0.8681318681318682,0.875,0.9491609024694609,"{'TN': 17, 'FP': 3, 'FN': 5, 'TP': 35}"
42,1,0.8983050847457628,0.7692307692307693,1.0,0.8695652173913044,20,1.0,0.8461538461538461,0.9166666666666666,39,0.8931159420289855,0.9007000736919676,0.9448717948717948,0.9766451254256133,"{'TN': 20, 'FP': 0, 'FN': 6, 'TP': 33}"
42,2,0.864406779661017,0.7727272727272727,0.85,0.8095238095238095,20,0.918918918918919,0.8717948717948718,0.8947368421052632,39,0.8521303258145363,0.8658510683488382,0.9217948717948719,0.9591087828552672,"{'TN': 17, 'FP': 3, 'FN': 5, 'TP': 34}"
42,3,0.9152542372881356,0.8947368421052632,0.85,0.8717948717948718,20,0.925,0.9487179487179487,0.9367088607594937,39,0.9042518662771828,0.914704118737588,0.9641025641025641,0.9843196747042902,"{'TN': 17, 'FP': 3, 'FN': 2, 'TP': 37}"
42,4,0.8983050847457628,0.8888888888888888,0.8,0.8421052631578948,20,0.9024390243902439,0.9487179487179487,0.9249999999999999,39,0.8835526315789474,0.896900089206066,0.8705128205128205,0.8801159761865751,"{'TN': 16, 'FP': 4, 'FN': 2, 'TP': 37}"
42,5,0.8813559322033898,0.8095238095238095,0.85,0.8292682926829269,20,0.9210526315789473,0.8974358974358975,0.9090909090909091,39,0.8691796008869179,0.882032395054305,0.9051282051282051,0.9553021195447904,"{'TN': 17, 'FP': 3, 'FN': 4, 'TP': 35}"
42,6,0.8983050847457628,0.8888888888888888,0.8,0.8421052631578948,20,0.9024390243902439,0.9487179487179487,0.9249999999999999,39,0.8835526315789474,0.896900089206066,0.9435897435897436,0.978173583981935,"{'TN': 16, 'FP': 4, 'FN': 2, 'TP': 37}"
42,7,0.8983050847457628,0.8421052631578947,0.8421052631578947,0.8421052631578947,19,0.925,0.925,0.925,40,0.8835526315789474,0.8983050847457628,0.9565789473684209,0.9825112979046017,"{'TN': 16, 'FP': 3, 'FN': 3, 'TP': 37}"
123,0,0.8333333333333334,0.75,0.75,0.75,20,0.875,0.875,0.875,40,0.8125,0.8333333333333334,0.8574999999999999,0.9203380347229653,"{'TN': 15, 'FP': 5, 'FN': 5, 'TP': 35}"
123,1,0.8983050847457628,0.8181818181818182,0.9,0.8571428571428572,20,0.9459459459459459,0.8974358974358975,0.9210526315789475,39,0.8890977443609023,0.8993883012616285,0.9410256410256411,0.9746508375920141,"{'TN': 18, 'FP': 2, 'FN': 4, 'TP': 35}"
123,2,0.9322033898305084,0.9,0.9,0.9,20,0.9487179487179487,0.9487179487179487,0.9487179487179487,39,0.9243589743589744,0.9322033898305084,0.9730769230769231,0.9884275653506422,"{'TN': 18, 'FP': 2, 'FN': 2, 'TP': 37}"
123,3,0.9152542372881356,0.9411764705882353,0.8,0.8648648648648648,20,0.9047619047619048,0.9743589743589743,0.9382716049382716,39,0.9015682349015682,0.9133879642354218,0.9743589743589743,0.9875960536445175,"{'TN': 16, 'FP': 4, 'FN': 1, 'TP': 38}"
123,4,0.9152542372881356,0.8571428571428571,0.9,0.8780487804878048,20,0.9473684210526315,0.9230769230769231,0.935064935064935,39,0.90655685777637,0.9157374250387892,0.926923076923077,0.9680984655552985,"{'TN': 18, 'FP': 2, 'FN': 3, 'TP': 36}"
123,5,0.847457627118644,0.7391304347826086,0.85,0.7906976744186046,20,0.9166666666666666,0.8461538461538461,0.8799999999999999,39,0.8353488372093023,0.8497280252266456,0.8948717948717949,0.9555429963425999,"{'TN': 17, 'FP': 3, 'FN': 6, 'TP': 33}"
123,6,0.847457627118644,0.7619047619047619,0.8,0.7804878048780488,20,0.8947368421052632,0.8717948717948718,0.8831168831168831,39,0.831802343997466,0.8483273650698206,0.8769230769230769,0.9369179000710542,"{'TN': 16, 'FP': 4, 'FN': 5, 'TP': 34}"
123,7,0.9152542372881356,0.85,0.8947368421052632,0.8717948717948718,19,0.9487179487179487,0.925,0.9367088607594937,40,0.9042518662771828,0.9158043558386834,0.9460526315789474,0.9783488173771788,"{'TN': 17, 'FP': 2, 'FN': 3, 'TP': 37}"
777,0,0.8666666666666667,0.8,0.8,0.8000000000000002,20,0.9,0.9,0.9,40,0.8500000000000001,0.8666666666666667,0.9262500000000001,0.9702432611872822,"{'TN': 16, 'FP': 4, 'FN': 4, 'TP': 36}"
777,1,0.9152542372881356,0.8571428571428571,0.9,0.8780487804878048,20,0.9473684210526315,0.9230769230769231,0.935064935064935,39,0.90655685777637,0.9157374250387892,0.9474358974358974,0.9765438051173573,"{'TN': 18, 'FP': 2, 'FN': 3, 'TP': 36}"
777,2,0.8983050847457628,0.7916666666666666,0.95,0.8636363636363635,20,0.9714285714285714,0.8717948717948718,0.9189189189189189,39,0.8912776412776413,0.9001790696705951,0.9192307692307693,0.9662501213656022,"{'TN': 19, 'FP': 1, 'FN': 5, 'TP': 34}"
777,3,0.847457627118644,0.7894736842105263,0.75,0.7692307692307692,20,0.875,0.8974358974358975,0.8860759493670887,39,0.8276533592989289,0.8464674137276583,0.9089743589743589,0.9524129800492316,"{'TN': 15, 'FP': 5, 'FN': 4, 'TP': 35}"
777,4,0.847457627118644,0.7619047619047619,0.8,0.7804878048780488,20,0.8947368421052632,0.8717948717948718,0.8831168831168831,39,0.831802343997466,0.8483273650698206,0.8987179487179487,0.95561497705879,"{'TN': 16, 'FP': 4, 'FN': 5, 'TP': 34}"
777,5,0.9322033898305084,0.8636363636363636,0.95,0.9047619047619048,20,0.972972972972973,0.9230769230769231,0.9473684210526315,39,0.9260651629072681,0.932925534174419,0.9576923076923076,0.9792323610104924,"{'TN': 19, 'FP': 1, 'FN': 3, 'TP': 36}"
777,6,0.8813559322033898,0.76,0.95,0.8444444444444444,20,0.9705882352941176,0.8461538461538461,0.9041095890410958,39,0.8742770167427701,0.8838841162964683,0.9230769230769231,0.969525605393551,"{'TN': 19, 'FP': 1, 'FN': 6, 'TP': 33}"
777,7,0.9152542372881356,0.8888888888888888,0.8421052631578947,0.8648648648648649,19,0.926829268292683,0.95,0.9382716049382716,40,0.9015682349015682,0.9146321462705643,0.906578947368421,0.9018944461412454,"{'TN': 16, 'FP': 3, 'FN': 2, 'TP': 38}"
