seed,fold,accuracy,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,macro_f1,weighted_f1,roc_auc,pr_auc,confusion_matrix
42,0,0.8421052631578947,0.7297297297297297,0.84375,0.7826086956521738,32,0.9137931034482759,0.8412698412698413,0.8760330578512397,63,0.8293208767517068,0.8445637990052386,0.8973214285714285,0.9575368798122919,"{'TN': 27, 'FP': 5, 'FN': 10, 'TP': 53}"
42,1,0.8526315789473684,0.7368421052631579,0.875,0.7999999999999999,32,0.9298245614035088,0.8412698412698413,0.8833333333333334,63,0.8416666666666667,0.8552631578947368,0.925595238095238,0.9664886275053519,"{'TN': 28, 'FP': 4, 'FN': 10, 'TP': 53}"
42,2,0.8526315789473684,0.7647058823529411,0.8125,0.787878787878788,32,0.9016393442622951,0.873015873015873,0.8870967741935485,63,0.837487781036168,0.8536759788033133,0.8978174603174603,0.95028698158579,"{'TN': 26, 'FP': 6, 'FN': 8, 'TP': 55}"
42,3,0.8085106382978723,0.71875,0.71875,0.71875,32,0.8548387096774194,0.8548387096774194,0.8548387096774194,62,0.7867943548387097,0.8085106382978723,0.9193548387096775,0.9651495122526942,"{'TN': 23, 'FP': 9, 'FN': 9, 'TP': 53}"
42,4,0.8936170212765957,0.8888888888888888,0.7741935483870968,0.8275862068965517,31,0.8955223880597015,0.9523809523809523,0.923076923076923,63,0.8753315649867375,0.8915853039110561,0.9508448540706604,0.9721139982880918,"{'TN': 24, 'FP': 7, 'FN': 3, 'TP': 60}"
123,0,0.8210526315789474,0.6923076923076923,0.84375,0.7605633802816902,32,0.9107142857142857,0.8095238095238095,0.8571428571428571,63,0.8088531187122736,0.8246108228317272,0.8948412698412698,0.9433647876488174,"{'TN': 27, 'FP': 5, 'FN': 12, 'TP': 51}"
123,1,0.8631578947368421,0.7714285714285715,0.84375,0.8059701492537314,32,0.9166666666666666,0.873015873015873,0.894308943089431,63,0.850139546171581,0.8645527177974058,0.9270833333333334,0.9684166381316255,"{'TN': 27, 'FP': 5, 'FN': 8, 'TP': 55}"
123,2,0.8842105263157894,0.8181818181818182,0.84375,0.8307692307692308,32,0.9193548387096774,0.9047619047619048,0.912,63,0.8713846153846154,0.884638056680162,0.9429563492063491,0.9752462226073633,"{'TN': 27, 'FP': 5, 'FN': 6, 'TP': 57}"
123,3,0.8085106382978723,0.7058823529411765,0.75,0.7272727272727272,32,0.8666666666666667,0.8387096774193549,0.8524590163934426,62,0.7898658718330849,0.8098424073310714,0.9082661290322581,0.9613333076535346,"{'TN': 24, 'FP': 8, 'FN': 10, 'TP': 52}"
123,4,0.8404255319148937,0.75,0.7741935483870968,0.7619047619047619,31,0.8870967741935484,0.873015873015873,0.88,63,0.8209523809523809,0.8410536980749747,0.9139784946236559,0.9628727398035211,"{'TN': 24, 'FP': 7, 'FN': 8, 'TP': 55}"
777,0,0.8947368421052632,0.7894736842105263,0.9375,0.8571428571428572,32,0.9649122807017544,0.873015873015873,0.9166666666666667,63,0.8869047619047619,0.8966165413533835,0.9588293650793651,0.9812214404436698,"{'TN': 30, 'FP': 2, 'FN': 8, 'TP': 55}"
777,1,0.8421052631578947,0.7931034482758621,0.71875,0.7540983606557378,32,0.8636363636363636,0.9047619047619048,0.8837209302325582,63,0.8189096454441479,0.8400585910066818,0.9350198412698412,0.9724985627690685,"{'TN': 23, 'FP': 9, 'FN': 6, 'TP': 57}"
777,2,0.7894736842105263,0.6666666666666666,0.75,0.7058823529411765,32,0.864406779661017,0.8095238095238095,0.8360655737704918,63,0.7709739633558341,0.7922143835964066,0.8983134920634921,0.9568934281404415,"{'TN': 24, 'FP': 8, 'FN': 12, 'TP': 51}"
777,3,0.8617021276595744,0.7878787878787878,0.8125,0.8,32,0.9016393442622951,0.8870967741935484,0.8943089430894309,62,0.8471544715447155,0.8622037709738799,0.920866935483871,0.9608780084859792,"{'TN': 26, 'FP': 6, 'FN': 7, 'TP': 55}"
777,4,0.7978723404255319,0.65,0.8387096774193549,0.7323943661971831,31,0.9074074074074074,0.7777777777777778,0.8376068376068377,63,0.7850006019020104,0.8029091076738665,0.8520225294418843,0.9371114208596203,"{'TN': 26, 'FP': 5, 'FN': 14, 'TP': 49}"
